 1728  pads
 1728  groups
   24  rows
    1  max number of pads in a group
   72  max number of pads   in row
   72  max number of groups in row
***************************************************
*  Layout for LP-TPC                               
                       centre [mm]       size [mm] 
  Pad  Group  Row      x        y        x       y 
  435   435    2    48.3334  -74.7483  2.9298  7.0417
  436   436    3    39.7412  -67.4413  2.9442  7.0417
  437   437    2    45.4051  -74.6530  2.9298  7.0417
  438   438    3    42.6842  -67.5250  2.9442  7.0417
  439   439    2    42.4766  -74.5637  2.9298  7.0417
  440   440    3    45.6270  -67.6148  2.9442  7.0417
  441   441    2    39.5479  -74.4803  2.9298  7.0417
  442   442    3    48.5696  -67.7106  2.9442  7.0417
  443   443    2    36.6191  -74.4028  2.9298  7.0417
  444   444    3    51.5120  -67.8123  2.9442  7.0417
  445   445    4    36.9770  -60.3241  2.9585  7.0417
  446   446    4    39.9344  -60.4022  2.9585  7.0417
  447   447    1    51.0110  -81.8867  2.9155  7.0417
  448   448    4    42.8917  -60.4864  2.9585  7.0417
  449   449    1    48.0972  -81.7860  2.9155  7.0417
  450   450    4    45.8488  -60.5766  2.9585  7.0417
  451   451    1    45.1832  -81.6912  2.9155  7.0417
  452   452    4    48.8057  -60.6729  2.9585  7.0417
  453   453    1    42.2690  -81.6023  2.9155  7.0417
  454   454    4    51.7624  -60.7751  2.9585  7.0417
  455   455    1    39.3547  -81.5193  2.9155  7.0417
  456   456    5    40.1277  -53.3632  2.9728  7.0417
  457   457    1    36.4402  -81.4422  2.9155  7.0417
  458   458    5    46.0707  -53.5385  2.9728  7.0417
  459   459    5    37.1559  -53.2847  2.9728  7.0417
  460   460    5    49.0419  -53.6352  2.9728  7.0417
  461   461    5    43.0993  -53.4478  2.9728  7.0417
  462   462    5    52.0129  -53.7379  2.9728  7.0417
  463   463    6    37.3349  -46.2453  2.9871  7.0417
  464   464    6    40.3209  -46.3242  2.9871  7.0417
  465   465    6    43.3068  -46.4092  2.9871  7.0417
  466   466    6    46.2926  -46.5003  2.9871  7.0417
  467   467    6    49.2781  -46.5975  2.9871  7.0417
  468   468    6    52.2634  -46.7007  2.9871  7.0417
  469   469    7    37.5138  -39.2059  3.0014  7.0417
  470   470    7    40.5142  -39.2852  3.0014  7.0417
  471   471    7    46.5144  -39.4621  3.0014  7.0417
  472   472    7    43.5144  -39.3706  3.0014  7.0417
  473   473    7    52.5139  -39.6635  3.0014  7.0417
  474   474    7    49.5143  -39.5598  3.0014  7.0417
  475   475    8    37.6927  -32.1665  3.0157  7.0417
  476   476    8    40.7074  -32.2462  3.0157  7.0417
  477   477    8    46.7363  -32.4240  3.0157  7.0417
  478   478    8    43.7220  -32.3320  3.0157  7.0417
  479   479    8    52.7644  -32.6263  3.0157  7.0417
  480   480    8    49.7504  -32.5221  3.0157  7.0417
  481   481    9    49.9866  -25.4843  3.0301  7.0417
  482   482    9    53.0149  -25.5891  3.0301  7.0417
  483   483    9    43.9295  -25.2934  3.0301  7.0417
  484   484    9    46.9582  -25.3858  3.0301  7.0417
  485   485    9    37.8717  -25.1271  3.0301  7.0417
  486   486    9    40.9007  -25.2072  3.0301  7.0417
